Nr	ID	Orig	Pair	Site	Bed	Soil	Alt	LL09a	BMtL10mg	BMS10mg	H10f	tBB10d	tSB10d	dB10d
277	ID277	O1200m	Hasl	Eich	bed10	sol	600m	0.8	83	0	0	NA	NA	0
278	ID278	O1800m	Vatt	Eich	bed10	sol	600m	0.5	NA	NA	NA	NA	NA	NA
279	ID279	O1200m	Sach	Eich	bed10	sol	600m	0.6	NA	NA	NA	NA	NA	NA
280	ID280	O1800m	Flue	Eich	bed10	sol	600m	0.6	NA	NA	NA	NA	NA	NA
281	ID281	O1200m	Chat	Eich	bed11	gra	600m	0.7	269.9	568	4	162	184	22
282	ID282	O1800m	Flue	Eich	bed11	gra	600m	1.1	327.9	495.4	8	138	162	24
283	ID283	O1200m	Flue	Eich	bed11	gra	600m	1.3	345.9	286.3	3	154	184	30
284	ID284	O1800m	Hasl	Eich	bed11	gra	600m	0.9	NA	NA	NA	NA	NA	NA
285	ID285	O1200m	Luts	Eich	bed11	gra	600m	0.6	NA	NA	NA	NA	NA	NA
286	ID286	O1800m	Reic	Eich	bed11	gra	600m	0.8	NA	NA	NA	NA	NA	NA
287	ID287	O1200m	Bex	Eich	bed11	gra	600m	1.4	1651.4	3117.6	16	138	170	32
288	ID288	O1800m	Ober	Eich	bed11	gra	600m	1	450.7	0	0	NA	NA	0
289	ID289	O1200m	Frut	Eich	bed11	gra	600m	2.1	929.6	1625	15	138	162	24
290	ID290	O1800m	Luts	Eich	bed11	gra	600m	0.5	NA	NA	NA	NA	NA	NA
291	ID291	O1200m	Vatt	Eich	bed11	gra	600m	0.3	NA	NA	NA	NA	NA	NA
292	ID292	O1800m	Chat	Eich	bed11	gra	600m	1.2	1445.1	357	2	154	184	30
293	ID293	O1200m	Lenk	Eich	bed11	gra	600m	1.1	401.2	188.6	3	138	162	24
294	ID294	O1800m	Bex	Eich	bed11	gra	600m	1.9	271.9	1248.8	13	138	170	32
295	ID295	O1200m	Ober	Eich	bed11	gra	600m	1.2	NA	418.5	6	138	162	24
296	ID296	O1800m	Brie	Eich	bed11	gra	600m	0.9	NA	NA	NA	NA	NA	NA
297	ID297	O1200m	Reic	Eich	bed11	gra	600m	0.8	114.5	0	0	NA	NA	0
298	ID298	O1800m	Lenk	Eich	bed11	gra	600m	1.8	1134.7	1118.1	9	138	162	24
299	ID299	O1200m	Lumn	Eich	bed11	gra	600m	0.3	NA	NA	NA	NA	NA	NA
300	ID300	O1800m	Frut	Eich	bed11	gra	600m	1.7	734.2	1607.4	6	162	184	22
301	ID301	O1200m	Sach	Eich	bed11	gra	600m	0.6	NA	NA	NA	NA	NA	NA
302	ID302	O1800m	Sach	Eich	bed11	gra	600m	0.8	NA	NA	NA	NA	NA	NA
303	ID303	O1200m	Brie	Eich	bed11	gra	600m	1.5	278.4	1378.9	6	154	184	30
304	ID304	O1800m	Hein	Eich	bed11	gra	600m	0.7	NA	NA	NA	NA	NA	NA
305	ID305	O1200m	Hein	Eich	bed11	gra	600m	0.6	NA	NA	NA	NA	NA	NA
306	ID306	O1800m	Lumn	Eich	bed11	gra	600m	0.6	NA	NA	NA	NA	NA	NA
307	ID307	O1200m	Hasl	Eich	bed11	gra	600m	0.8	NA	NA	NA	NA	NA	NA
308	ID308	O1800m	Vatt	Eich	bed11	gra	600m	0.7	277.8	50	1	146	170	24
309	ID309	O1200m	Chat	Eich	bed12	gra	600m	0.8	334.8	0	0	NA	NA	0
310	ID310	O1800m	Chat	Eich	bed12	gra	600m	0.8	708.4	0	0	NA	NA	0
311	ID311	O1200m	Luts	Eich	bed12	gra	600m	0.9	563.4	0	0	NA	NA	0
312	ID312	O1800m	Luts	Eich	bed12	gra	600m	0.6	65.5	0	0	NA	NA	0
313	ID313	O1200m	Bex	Eich	bed12	gra	600m	1.3	267.6	200.6	3	146	170	24
314	ID314	O1800m	Bex	Eich	bed12	gra	600m	0.8	153.8	0	0	NA	NA	0
315	ID315	O1200m	Flue	Eich	bed12	gra	600m	1.4	234.7	0	0	NA	NA	0
316	ID316	O1800m	Reic	Eich	bed12	gra	600m	0.7	NA	NA	NA	NA	NA	NA
317	ID317	O1200m	Lenk	Eich	bed12	gra	600m	1	NA	NA	NA	NA	NA	NA
318	ID318	O1800m	Brie	Eich	bed12	gra	600m	1.2	86.3	1169.5	10	146	170	24
319	ID319	O1200m	Hein	Eich	bed12	gra	600m	0.3	NA	NA	NA	NA	NA	NA
320	ID320	O1800m	Ober	Eich	bed12	gra	600m	1.2	324	0	0	NA	NA	0
321	ID321	O1200m	Brie	Eich	bed12	gra	600m	1	289.4	1345	7	162	184	22
322	ID322	O1800m	Sach	Eich	bed12	gra	600m	0.7	NA	NA	NA	NA	NA	NA
323	ID323	O1200m	Reic	Eich	bed12	gra	600m	0.5	NA	NA	NA	NA	NA	NA
324	ID324	O1800m	Frut	Eich	bed12	gra	600m	0.7	NA	NA	NA	NA	NA	NA
325	ID325	O1200m	Frut	Eich	bed12	gra	600m	2	1012.2	128.7	2	138	162	24
326	ID326	O1800m	Lenk	Eich	bed12	gra	600m	1.1	235.7	178.9	3	170	184	14
327	ID327	O1200m	Vatt	Eich	bed12	gra	600m	0.4	NA	NA	NA	NA	NA	NA
328	ID328	O1800m	Hein	Eich	bed12	gra	600m	0.5	NA	NA	NA	NA	NA	NA
329	ID329	O1200m	Ober	Eich	bed12	gra	600m	1.3	148.8	734.9	6	146	170	24
330	ID330	O1800m	Hasl	Eich	bed12	gra	600m	1.1	NA	NA	NA	NA	NA	NA
331	ID331	O1200m	Lumn	Eich	bed12	gra	600m	0.5	NA	NA	NA	NA	NA	NA
332	ID332	O1800m	Lumn	Eich	bed12	gra	600m	0.9	115.5	0	0	NA	NA	0
333	ID333	O1200m	Hasl	Eich	bed12	gra	600m	0.5	NA	NA	NA	NA	NA	NA
334	ID334	O1800m	Vatt	Eich	bed12	gra	600m	0.6	NA	NA	NA	NA	NA	NA
335	ID335	O1200m	Sach	Eich	bed12	gra	600m	0.6	NA	NA	NA	NA	NA	NA
336	ID336	O1800m	Flue	Eich	bed12	gra	600m	0.6	60.1	0	0	NA	NA	0
337	ID337	O1200m	Lenk	Ochs	bed13	sol	1200m	0.9	645.9	440.6	3	162	184	22
338	ID338	O1800m	Bex	Ochs	bed13	sol	1200m	1.5	485.9	1836.9	15	162	184	22
339	ID339	O1200m	Flue	Ochs	bed13	sol	1200m	0.9	101	311.5	5	162	192	30
340	ID340	O1800m	Chat	Ochs	bed13	sol	1200m	1.3	383.7	0	0	NA	NA	0
341	ID341	O1200m	Sach	Ochs	bed13	sol	1200m	0.7	NA	NA	NA	NA	NA	NA
342	ID342	O1800m	Frut	Ochs	bed13	sol	1200m	1.1	43.3	0	0	NA	NA	0
343	ID343	O1200m	Frut	Ochs	bed13	sol	1200m	1.8	1038.9	1846.1	12	162	184	22
344	ID344	O1800m	Vatt	Ochs	bed13	sol	1200m	1.1	315.3	270.2	2	170	192	22
345	ID345	O1200m	Reic	Ochs	bed13	sol	1200m	1.7	286.3	716.6	5	170	192	22
346	ID346	O1800m	Ober	Ochs	bed13	sol	1200m	1.7	123.5	1465	9	162	184	22
347	ID347	O1200m	Hein	Ochs	bed13	sol	1200m	0.8	186.9	0	0	NA	NA	0
348	ID348	O1800m	Hasl	Ochs	bed13	sol	1200m	0.8	575.1	0	0	NA	NA	0
349	ID349	O1200m	Ober	Ochs	bed13	sol	1200m	1.7	379.2	1692.9	12	154	184	30
350	ID350	O1800m	Brie	Ochs	bed13	sol	1200m	1.6	460.3	3231.2	15	162	199	37
351	ID351	O1200m	Hasl	Ochs	bed13	sol	1200m	1	375.9	263.4	2	NA	NA	NA
352	ID352	O1800m	Flue	Ochs	bed13	sol	1200m	1.5	235.1	377.8	2	162	184	22
353	ID353	O1200m	Chat	Ochs	bed13	sol	1200m	0.8	394.9	663.9	5	162	192	30
354	ID354	O1800m	Reic	Ochs	bed13	sol	1200m	0.8	299.4	1139.5	7	162	184	22
355	ID355	O1200m	Lumn	Ochs	bed13	sol	1200m	0.4	NA	NA	NA	NA	NA	NA
356	ID356	O1800m	Lumn	Ochs	bed13	sol	1200m	0.7	101	0	0	NA	NA	0
357	ID357	O1200m	Bex	Ochs	bed13	sol	1200m	1.5	523.1	1062	4	162	192	30
358	ID358	O1800m	Hein	Ochs	bed13	sol	1200m	0.5	NA	NA	NA	NA	NA	NA
359	ID359	O1200m	Luts	Ochs	bed13	sol	1200m	1.4	995.7	3468.5	14	146	184	38
360	ID360	O1800m	Sach	Ochs	bed13	sol	1200m	0.8	445.4	830.5	5	162	192	30
361	ID361	O1200m	Brie	Ochs	bed13	sol	1200m	1.3	262.3	0	0	NA	NA	0
362	ID362	O1800m	Lenk	Ochs	bed13	sol	1200m	1.5	825.1	2192	17	170	184	14
363	ID363	O1200m	Vatt	Ochs	bed13	sol	1200m	0.5	40.2	0	0	NA	NA	0
364	ID364	O1800m	Luts	Ochs	bed13	sol	1200m	1.1	402.5	978.9	5	162	192	30
365	ID365	O1200m	Flue	Ochs	bed14	sol	1200m	1.8	408.3	1823.4	9	154	184	30
366	ID366	O1800m	Frut	Ochs	bed14	sol	1200m	0.7	46.9	0	0	NA	NA	0
367	ID367	O1200m	Sach	Ochs	bed14	sol	1200m	0.4	232.4	0	0	NA	NA	0
368	ID368	O1800m	Bex	Ochs	bed14	sol	1200m	1.2	97.6	0	0	NA	NA	0
369	ID369	O1200m	Lenk	Ochs	bed14	sol	1200m	0.7	5.6	0	0	NA	NA	0
370	ID370	O1800m	Vatt	Ochs	bed14	sol	1200m	0.7	17.1	0	0	NA	NA	0
371	ID371	O1200m	Reic	Ochs	bed14	sol	1200m	1.4	107.4	0	0	NA	NA	0
372	ID372	O1800m	Ober	Ochs	bed14	sol	1200m	1.9	NA	NA	NA	NA	NA	NA
373	ID373	O1200m	Chat	Ochs	bed14	sol	1200m	0.9	88.6	0	0	NA	NA	0
374	ID374	O1800m	Lumn	Ochs	bed14	sol	1200m	1.1	20.8	0	0	NA	NA	0
375	ID375	O1200m	Hasl	Ochs	bed14	sol	1200m	1	364.8	287.7	2	170	192	22
376	ID376	O1800m	Reic	Ochs	bed14	sol	1200m	1.1	39.2	0	0	NA	NA	0
377	ID377	O1200m	Hein	Ochs	bed14	sol	1200m	0.4	NA	NA	NA	NA	NA	NA
378	ID378	O1800m	Brie	Ochs	bed14	sol	1200m	1.4	128.5	0	0	NA	NA	0
379	ID379	O1200m	Ober	Ochs	bed14	sol	1200m	1.1	79.4	103.4	2	176	199	23
380	ID380	O1800m	Hasl	Ochs	bed14	sol	1200m	1.9	317.5	1183	7	162	192	30
381	ID381	O1200m	Luts	Ochs	bed14	sol	1200m	0.4	39.6	0	0	NA	NA	0
382	ID382	O1800m	Chat	Ochs	bed14	sol	1200m	1.1	606.6	0	0	NA	NA	0
383	ID383	O1200m	Vatt	Ochs	bed14	sol	1200m	0.5	NA	NA	NA	NA	NA	NA
384	ID384	O1800m	Hein	Ochs	bed14	sol	1200m	0.8	99.1	0	0	NA	NA	0
385	ID385	O1200m	Brie	Ochs	bed14	sol	1200m	1.2	53.9	0	0	NA	NA	0
386	ID386	O1800m	Lenk	Ochs	bed14	sol	1200m	1	472.3	433.2	2	162	192	30
387	ID387	O1200m	Frut	Ochs	bed14	sol	1200m	1.6	298.1	164	2	176	199	23
388	ID388	O1800m	Sach	Ochs	bed14	sol	1200m	0.9	352.4	0	0	NA	NA	0
389	ID389	O1200m	Bex	Ochs	bed14	sol	1200m	1.4	485.1	752.8	7	162	184	22
390	ID390	O1800m	Flue	Ochs	bed14	sol	1200m	1.2	275	1200.9	12	162	192	30
391	ID391	O1200m	Lumn	Ochs	bed14	sol	1200m	0.4	NA	NA	NA	NA	NA	NA
392	ID392	O1800m	Luts	Ochs	bed14	sol	1200m	0.6	98.4	0	0	NA	NA	0
393	ID393	O1200m	Lenk	Ochs	bed15	gra	1200m	1.5	455.3	653.8	4	170	184	14
394	ID394	O1800m	Bex	Ochs	bed15	gra	1200m	1.4	273.2	814.6	6	162	199	37
395	ID395	O1200m	Flue	Ochs	bed15	gra	1200m	1.1	175.8	559.4	4	170	199	29
396	ID396	O1800m	Chat	Ochs	bed15	gra	1200m	1.5	6.7	0	0	NA	NA	0
397	ID397	O1200m	Sach	Ochs	bed15	gra	1200m	0.5	34.3	0	0	NA	NA	0
398	ID398	O1800m	Frut	Ochs	bed15	gra	1200m	0.9	167.4	0	0	NA	NA	0
399	ID399	O1200m	Frut	Ochs	bed15	gra	1200m	2.1	585.6	2417.7	14	146	184	38
400	ID400	O1800m	Vatt	Ochs	bed15	gra	1200m	0.7	246.8	0	0	NA	NA	0
401	ID401	O1200m	Reic	Ochs	bed15	gra	1200m	1.3	561.9	2544.8	14	162	184	22
402	ID402	O1800m	Ober	Ochs	bed15	gra	1200m	1.4	512.5	536.1	3	162	184	22
403	ID403	O1200m	Hein	Ochs	bed15	gra	1200m	0.4	245.4	0	0	NA	NA	0
404	ID404	O1800m	Hasl	Ochs	bed15	gra	1200m	0.6	82.3	57.3	1	184	199	15
405	ID405	O1200m	Ober	Ochs	bed15	gra	1200m	1.4	66.7	292.7	2	162	184	22
406	ID406	O1800m	Brie	Ochs	bed15	gra	1200m	1.4	71.3	833	6	162	184	22
407	ID407	O1200m	Hasl	Ochs	bed15	gra	1200m	1.2	309.1	1590.9	7	162	184	22
408	ID408	O1800m	Flue	Ochs	bed15	gra	1200m	1.2	37.5	209.6	3	184	192	8
409	ID409	O1200m	Chat	Ochs	bed15	gra	1200m	0.9	242	402.7	3	184	199	15
410	ID410	O1800m	Reic	Ochs	bed15	gra	1200m	1.2	301.1	2100.3	16	162	184	22
411	ID411	O1200m	Lumn	Ochs	bed15	gra	1200m	0.4	19.1	0	0	NA	NA	0
412	ID412	O1800m	Lumn	Ochs	bed15	gra	1200m	0.9	126.6	0	0	NA	NA	0
413	ID413	O1200m	Bex	Ochs	bed15	gra	1200m	2.1	531.4	5255.4	17	154	184	30
414	ID414	O1800m	Hein	Ochs	bed15	gra	1200m	0.4	33.2	0	0	NA	NA	0
415	ID415	O1200m	Luts	Ochs	bed15	gra	1200m	0.7	139.8	0	0	NA	NA	0
416	ID416	O1800m	Sach	Ochs	bed15	gra	1200m	1.6	161.6	903.7	8	162	184	22
417	ID417	O1200m	Brie	Ochs	bed15	gra	1200m	1.2	376.2	991.6	3	184	199	15
418	ID418	O1800m	Lenk	Ochs	bed15	gra	1200m	1.5	383.6	1294.4	8	170	192	22
419	ID419	O1200m	Vatt	Ochs	bed15	gra	1200m	0.4	69.6	0	0	NA	NA	0
420	ID420	O1800m	Luts	Ochs	bed15	gra	1200m	1.1	209.5	0	0	NA	NA	0
421	ID421	O1200m	Flue	Ochs	bed16	gra	1200m	1.4	180.4	1327.6	8	162	184	22
422	ID422	O1800m	Frut	Ochs	bed16	gra	1200m	0.7	846.7	479.3	3	162	184	22
423	ID423	O1200m	Sach	Ochs	bed16	gra	1200m	0.4	234.5	0	0	NA	NA	0
424	ID424	O1800m	Bex	Ochs	bed16	gra	1200m	1.3	416.3	0	0	NA	NA	0
425	ID425	O1200m	Lenk	Ochs	bed16	gra	1200m	0.4	57.5	0	0	NA	NA	0
426	ID426	O1800m	Vatt	Ochs	bed16	gra	1200m	0.7	74.6	169.8	2	162	184	22
427	ID427	O1200m	Reic	Ochs	bed16	gra	1200m	0.9	317.1	1097.2	5	138	192	54
428	ID428	O1800m	Ober	Ochs	bed16	gra	1200m	1.8	362.8	2113.1	14	162	184	22
429	ID429	O1200m	Chat	Ochs	bed16	gra	1200m	1.2	244.2	726	5	184	199	15
430	ID430	O1800m	Lumn	Ochs	bed16	gra	1200m	0.6	287.6	286.5	4	170	184	14
431	ID431	O1200m	Hasl	Ochs	bed16	gra	1200m	1	187	209	2	170	184	14
432	ID432	O1800m	Reic	Ochs	bed16	gra	1200m	1.2	224.5	0	0	NA	NA	0
433	ID433	O1200m	Hein	Ochs	bed16	gra	1200m	0.4	24.9	0	0	NA	NA	0
434	ID434	O1800m	Brie	Ochs	bed16	gra	1200m	1	50.1	157.3	1	192	199	7
435	ID435	O1200m	Ober	Ochs	bed16	gra	1200m	1.2	53.9	763.4	14	162	184	22
436	ID436	O1800m	Hasl	Ochs	bed16	gra	1200m	1.3	369.8	1330.6	7	162	184	22
437	ID437	O1200m	Luts	Ochs	bed16	gra	1200m	0.5	NA	NA	NA	NA	NA	NA
438	ID438	O1800m	Chat	Ochs	bed16	gra	1200m	1.2	470	741.9	3	170	199	29
439	ID439	O1200m	Vatt	Ochs	bed16	gra	1200m	0.5	288.4	0	0	NA	NA	0
440	ID440	O1800m	Hein	Ochs	bed16	gra	1200m	0.8	3.3	0	0	NA	NA	0
441	ID441	O1200m	Brie	Ochs	bed16	gra	1200m	1.3	531.6	1704.2	6	170	192	22
442	ID442	O1800m	Lenk	Ochs	bed16	gra	1200m	1.5	649.3	779	3	184	199	15
443	ID443	O1200m	Frut	Ochs	bed16	gra	1200m	1.1	396.2	731.6	5	184	192	8
444	ID444	O1800m	Sach	Ochs	bed16	gra	1200m	1.3	216.6	0	0	NA	NA	0
445	ID445	O1200m	Bex	Ochs	bed16	gra	1200m	1.5	272.8	2101.1	14	162	184	22
446	ID446	O1800m	Flue	Ochs	bed16	gra	1200m	1.5	179.7	15.7	3	199	NA	NA
447	ID447	O1200m	Lumn	Ochs	bed16	gra	1200m	0.3	32.5	0	0	NA	NA	0
448	ID448	O1800m	Luts	Ochs	bed16	gra	1200m	0.5	198.5	0	0	NA	NA	0
449	ID449	O1200m	Flue	Surc	bed17	sol	1200m	0.6	5.5	0	0	NA	NA	0
450	ID450	O1800m	Bex	Surc	bed17	sol	1200m	1.6	113.4	0	0	184	NA	0
451	ID451	O1200m	Hasl	Surc	bed17	sol	1200m	0.6	112.6	0	0	NA	NA	0
452	ID452	O1800m	Frut	Surc	bed17	sol	1200m	2.2	487.2	756.6	5	162	192	30
453	ID453	O1200m	Ober	Surc	bed17	sol	1200m	1.6	134	1708	13	146	192	46
454	ID454	O1800m	Vatt	Surc	bed17	sol	1200m	0.5	0.9	0	0	NA	NA	0
455	ID455	O1200m	Reic	Surc	bed17	sol	1200m	0.4	27.6	0	0	NA	NA	0
456	ID456	O1800m	Lumn	Surc	bed17	sol	1200m	0.6	14.7	588.7	2	184	192	8
457	ID457	O1200m	Hein	Surc	bed17	sol	1200m	0.7	101.9	0	0	NA	NA	0
458	ID458	O1800m	Reic	Surc	bed17	sol	1200m	0.7	NA	NA	NA	NA	NA	NA
459	ID459	O1200m	Vatt	Surc	bed17	sol	1200m	0.8	278.2	339.8	2	162	192	30
460	ID460	O1800m	Ober	Surc	bed17	sol	1200m	1.2	NA	117	1	162	192	30
461	ID461	O1200m	Sach	Surc	bed17	sol	1200m	0.7	113.6	471.8	3	184	205	21
462	ID462	O1800m	Lenk	Surc	bed17	sol	1200m	0.8	NA	NA	NA	NA	NA	NA
463	ID463	O1200m	Lenk	Surc	bed17	sol	1200m	1.4	834.7	1013.4	4	154	192	38
464	ID464	O1800m	Hein	Surc	bed17	sol	1200m	0.4	72.9	0	0	NA	NA	0
465	ID465	O1200m	Brie	Surc	bed17	sol	1200m	1.7	433.9	295.5	3	205	221	16
466	ID466	O1800m	Hasl	Surc	bed17	sol	1200m	1	162.1	17.4	1	170	NA	NA
467	ID467	O1200m	Chat	Surc	bed17	sol	1200m	0.8	98.6	0	0	NA	NA	0
468	ID468	O1800m	Brie	Surc	bed17	sol	1200m	1.6	170.2	1287.1	8	162	192	30
469	ID469	O1200m	Lumn	Surc	bed17	sol	1200m	0.5	24.6	0	0	NA	NA	0
470	ID470	O1800m	Sach	Surc	bed17	sol	1200m	1	14.4	0	0	NA	NA	0
471	ID471	O1200m	Bex	Surc	bed17	sol	1200m	1.1	237.2	567.6	4	176	192	16
472	ID472	O1800m	Luts	Surc	bed17	sol	1200m	1	18.1	0	0	NA	NA	0
473	ID473	O1200m	Luts	Surc	bed17	sol	1200m	0.8	21.9	0	0	NA	NA	0
474	ID474	O1800m	Chat	Surc	bed17	sol	1200m	0.8	9.9	0	0	NA	NA	0
475	ID475	O1200m	Frut	Surc	bed17	sol	1200m	2.1	322.4	199.6	2	176	192	16
476	ID476	O1800m	Flue	Surc	bed17	sol	1200m	0.9	327.7	0	0	NA	NA	0
477	ID477	O1200m	Flue	Surc	bed18	sol	1200m	0.7	NA	NA	NA	NA	NA	NA
478	ID478	O1800m	Bex	Surc	bed18	sol	1200m	1.6	5.5	0	0	NA	NA	0
479	ID479	O1200m	Hein	Surc	bed18	sol	1200m	0.4	26.1	0	0	NA	NA	0
480	ID480	O1800m	Vatt	Surc	bed18	sol	1200m	0.5	2.7	0	0	NA	NA	0
481	ID481	O1200m	Sach	Surc	bed18	sol	1200m	0.7	14.7	0	0	NA	NA	0
482	ID482	O1800m	Lumn	Surc	bed18	sol	1200m	0.7	15.5	0	0	NA	NA	0
483	ID483	O1200m	Vatt	Surc	bed18	sol	1200m	NA	NA	NA	NA	NA	NA	NA
484	ID484	O1800m	Ober	Surc	bed18	sol	1200m	1.3	10.7	0	0	NA	NA	0
485	ID485	O1200m	Ober	Surc	bed18	sol	1200m	1.5	229.1	206.3	2	205	NA	NA
486	ID486	O1800m	Hasl	Surc	bed18	sol	1200m	1.7	74.3	0	0	NA	NA	0
487	ID487	O1200m	Hasl	Surc	bed18	sol	1200m	0.8	NA	NA	NA	NA	NA	NA
488	ID488	O1800m	Lenk	Surc	bed18	sol	1200m	1.5	156	547.8	8	184	205	21
489	ID489	O1200m	Brie	Surc	bed18	sol	1200m	1.6	25.3	0	0	NA	NA	0
490	ID490	O1800m	Reic	Surc	bed18	sol	1200m	0.7	NA	NA	NA	NA	NA	NA
491	ID491	O1200m	Lenk	Surc	bed18	sol	1200m	0.8	300.4	0	0	146	NA	0
492	ID492	O1800m	Sach	Surc	bed18	sol	1200m	0.8	14.9	0	0	NA	NA	0
493	ID493	O1200m	Reic	Surc	bed18	sol	1200m	0.9	122.4	0	0	NA	NA	0
494	ID494	O1800m	Brie	Surc	bed18	sol	1200m	1.1	NA	NA	NA	NA	NA	NA
495	ID495	O1200m	Bex	Surc	bed18	sol	1200m	1.8	361.2	0	0	NA	NA	0
496	ID496	O1800m	Frut	Surc	bed18	sol	1200m	2.1	260.3	41.6	1	199	205	6
497	ID497	O1200m	Lumn	Surc	bed18	sol	1200m	0.4	4.4	0	0	NA	NA	0
498	ID498	O1800m	Chat	Surc	bed18	sol	1200m	0.5	NA	NA	NA	NA	NA	NA
499	ID499	O1200m	Frut	Surc	bed18	sol	1200m	1.7	287.3	1772.8	11	162	192	30
500	ID500	O1800m	Luts	Surc	bed18	sol	1200m	0.5	4.2	0	0	NA	NA	0
501	ID501	O1200m	Chat	Surc	bed18	sol	1200m	0.8	158.1	0	0	NA	NA	0
502	ID502	O1800m	Flue	Surc	bed18	sol	1200m	0.6	NA	NA	NA	NA	NA	NA
503	ID503	O1200m	Luts	Surc	bed18	sol	1200m	0.7	0.4	0	0	NA	NA	0
504	ID504	O1800m	Hein	Surc	bed18	sol	1200m	0.7	177.8	0	0	NA	NA	0
505	ID505	O1200m	Flue	Surc	bed19	gra	1200m	0.3	69.1	0	0	NA	NA	0
506	ID506	O1800m	Bex	Surc	bed19	gra	1200m	1.4	293.8	336.5	4	162	192	30
507	ID507	O1200m	Hasl	Surc	bed19	gra	1200m	0.6	51.9	0	0	NA	NA	0
508	ID508	O1800m	Frut	Surc	bed19	gra	1200m	2.3	141.5	264.9	2	184	192	8
509	ID509	O1200m	Ober	Surc	bed19	gra	1200m	1.6	126.7	747.7	9	162	192	30
510	ID510	O1800m	Vatt	Surc	bed19	gra	1200m	0.4	104.2	0	0	NA	NA	0
511	ID511	O1200m	Reic	Surc	bed19	gra	1200m	0.6	163.9	0	0	NA	NA	0
512	ID512	O1800m	Lumn	Surc	bed19	gra	1200m	0.5	90.3	0	0	NA	NA	0
513	ID513	O1200m	Hein	Surc	bed19	gra	1200m	0.8	2.9	0	0	NA	NA	0
514	ID514	O1800m	Reic	Surc	bed19	gra	1200m	0.8	89.7	0	0	NA	NA	0
515	ID515	O1200m	Vatt	Surc	bed19	gra	1200m	1.2	45.8	381	4	162	192	30
516	ID516	O1800m	Ober	Surc	bed19	gra	1200m	1.6	144.5	145	3	162	192	30
517	ID517	O1200m	Sach	Surc	bed19	gra	1200m	0.6	NA	NA	NA	NA	NA	NA
518	ID518	O1800m	Lenk	Surc	bed19	gra	1200m	0.8	87.2	0	0	NA	192	0
519	ID519	O1200m	Lenk	Surc	bed19	gra	1200m	1.6	840.7	615.5	8	146	176	30
520	ID520	O1800m	Hein	Surc	bed19	gra	1200m	0.7	34.1	0	0	NA	NA	0
521	ID521	O1200m	Brie	Surc	bed19	gra	1200m	1.3	435.8	2712.4	14	162	192	30
522	ID522	O1800m	Hasl	Surc	bed19	gra	1200m	1.5	59.1	725	5	170	192	22
523	ID523	O1200m	Chat	Surc	bed19	gra	1200m	0.8	385	480.6	5	170	192	22
524	ID524	O1800m	Brie	Surc	bed19	gra	1200m	2.2	885.1	3482	24	146	192	46
525	ID525	O1200m	Lumn	Surc	bed19	gra	1200m	0.5	67.9	0	0	NA	NA	0
526	ID526	O1800m	Sach	Surc	bed19	gra	1200m	1.8	44.2	1020.3	11	162	192	30
527	ID527	O1200m	Bex	Surc	bed19	gra	1200m	1	263.4	1131.6	6	162	192	30
528	ID528	O1800m	Luts	Surc	bed19	gra	1200m	0.6	147	0	0	NA	NA	0
529	ID529	O1200m	Luts	Surc	bed19	gra	1200m	0.6	104.4	0	0	NA	NA	0
530	ID530	O1800m	Chat	Surc	bed19	gra	1200m	0.7	193.3	0	0	NA	NA	0
531	ID531	O1200m	Frut	Surc	bed19	gra	1200m	2.1	411.7	1446	21	162	192	30
532	ID532	O1800m	Flue	Surc	bed19	gra	1200m	0.8	210.4	0	0	NA	NA	0
533	ID533	O1200m	Flue	Surc	bed20	gra	1200m	1.1	154.7	501.6	5	170	192	22
534	ID534	O1800m	Bex	Surc	bed20	gra	1200m	2.1	681.5	1408.6	10	162	192	30
535	ID535	O1200m	Hein	Surc	bed20	gra	1200m	0.4	143.8	0	0	NA	NA	0
536	ID536	O1800m	Vatt	Surc	bed20	gra	1200m	1.4	117.3	0	0	176	NA	0
537	ID537	O1200m	Sach	Surc	bed20	gra	1200m	0.9	65.9	0	0	NA	NA	0
538	ID538	O1800m	Lumn	Surc	bed20	gra	1200m	0.9	220.3	590	5	162	192	30
539	ID539	O1200m	Vatt	Surc	bed20	gra	1200m	NA	NA	NA	NA	NA	NA	NA
540	ID540	O1800m	Ober	Surc	bed20	gra	1200m	1	470.1	1182.8	5	184	192	8
541	ID541	O1200m	Ober	Surc	bed20	gra	1200m	1.8	312.5	153.2	3	184	192	8
542	ID542	O1800m	Hasl	Surc	bed20	gra	1200m	1.4	1763.5	2224.3	17	146	192	46
543	ID543	O1200m	Hasl	Surc	bed20	gra	1200m	0.6	323.7	0	0	NA	NA	0
544	ID544	O1800m	Lenk	Surc	bed20	gra	1200m	1.6	1017.2	4060.2	23	162	192	30
545	ID545	O1200m	Brie	Surc	bed20	gra	1200m	1.5	471.8	2909	18	176	192	16
546	ID546	O1800m	Reic	Surc	bed20	gra	1200m	0.8	442.6	575.7	7	162	192	30
547	ID547	O1200m	Lenk	Surc	bed20	gra	1200m	0.9	NA	50.9	1	NA	NA	NA
548	ID548	O1800m	Sach	Surc	bed20	gra	1200m	0.6	83.6	0	0	NA	NA	0
549	ID549	O1200m	Reic	Surc	bed20	gra	1200m	1.4	123.4	604	15	154	192	38
550	ID550	O1800m	Brie	Surc	bed20	gra	1200m	1.1	862.8	2140.7	19	146	176	30
