Site	City	Type	Month	All_taxa	Coleoptera	Diptera	Syrphidae	Hymenoptera	Lepidoptera	Bees	Bumblebees	Solitary_bees	Floral_unit_abundance
Leeds_nature_reserve	Leeds	naturereserve	June	11	4	4	3	0	2	3	2	0	283
Leeds_nature_reserve	Leeds	naturereserve	July	12	2	6	3	1	2	2	2	0	11
Leeds_nature_reserve	Leeds	naturereserve	August	3	0	2	1	0	1	1	1	0	357
Leeds_nature_reserve	Leeds	naturereserve	September	6	0	4	2	0	2	1	1	0	0
Leeds_urban	Leeds	urban	June	15	0	4	11	0	2	10	8	1	3126
Leeds_urban	Leeds	urban	July	5	0	2	3	0	1	2	1	0	1287
Leeds_urban	Leeds	urban	August	13	0	8	5	0	8	5	3	1	369
Leeds_urban	Leeds	urban	September	6	0	5	1	0	5	1	0	0	173
London_farmland	London	farmland	June	11	2	2	7	0	2	5	4	0	1371
London_farmland	London	farmland	July	12	4	3	3	2	2	2	1	0	190
London_farmland	London	farmland	August	20	3	8	9	0	4	8	3	4	168
London_farmland	London	farmland	September	5	0	3	2	0	2	1	1	0	9
London_nature_reserve	London	naturereserve	June	0	0	0	0	0	0	0	0	0	3
London_nature_reserve	London	naturereserve	July	2	0	1	1	0	1	1	1	0	18
London_nature_reserve	London	naturereserve	August	4	0	3	1	0	2	1	1	0	21
London_nature_reserve	London	naturereserve	September	4	0	3	1	0	3	1	1	0	41
London_urban	London	urban	June	15	2	6	6	1	2	6	5	0	123
London_urban	London	urban	July	33	4	14	14	1	6	11	4	6	148
London_urban	London	urban	August	17	4	5	8	0	4	8	2	5	38
London_urban	London	urban	September	11	0	4	7	0	1	6	3	2	58
Reading_farmland	Reading	farmland	June	36	4	23	8	1	7	5	2	2	1295
Reading_farmland	Reading	farmland	July	44	3	28	12	1	11	10	3	6	531
Reading_farmland	Reading	farmland	August	1	0	1	0	0	0	0	0	0	6
Reading_farmland	Reading	farmland	September	0	0	0	0	0	0	0	0	0	0
Reading_nature_reserve	Reading	naturereserve	June	2	1	0	1	0	0	1	1	0	519
Reading_nature_reserve	Reading	naturereserve	July	8	0	6	2	0	6	2	1	1	189
Reading_nature_reserve	Reading	naturereserve	August	6	0	3	3	0	1	3	2	0	3501
Reading_nature_reserve	Reading	naturereserve	September	6	0	3	3	0	3	3	2	0	2081
Reading_urban	Reading	urban	June	12	2	6	4	0	2	4	4	0	271
Reading_urban	Reading	urban	July	26	1	12	13	0	7	12	4	7	149
Reading_urban	Reading	urban	August	6	0	3	3	0	1	3	2	0	43
Reading_urban	Reading	urban	September	7	0	4	3	0	2	3	1	1	19
Sheffield_farmland	Sheffield	farmland	June	9	2	5	2	0	0	2	1	1	135
Sheffield_farmland	Sheffield	farmland	July	8	1	3	4	0	1	2	2	0	109
Sheffield_farmland	Sheffield	farmland	August	5	0	3	2	0	3	2	1	0	38
Sheffield_farmland	Sheffield	farmland	September	10	0	8	2	0	5	2	2	0	6
Sheffield_nature_reserve	Sheffield	naturereserve	June	0	0	0	0	0	0	0	0	0	0
Sheffield_nature_reserve	Sheffield	naturereserve	July	0	0	0	0	0	0	0	0	0	22
Sheffield_nature_reserve	Sheffield	naturereserve	August	15	0	10	5	0	9	3	2	0	3297
Sheffield_nature_reserve	Sheffield	naturereserve	September	1	0	0	1	0	0	1	1	0	16787
Sheffield_urban	Sheffield	urban	June	9	0	2	7	0	2	7	5	1	969
Sheffield_urban	Sheffield	urban	July	7	0	2	5	0	1	5	2	2	229
Sheffield_urban	Sheffield	urban	August	8	2	3	2	1	3	2	2	0	249
Sheffield_urban	Sheffield	urban	September	5	0	4	1	0	4	1	1	0	69
Southampton_farmland	Southampton	farmland	June	1	0	1	0	0	0	0	0	0	229
Southampton_farmland	Southampton	farmland	July	29	2	20	7	0	11	7	2	4	646
Southampton_farmland	Southampton	farmland	August	24	1	16	6	1	2	5	2	2	268
Southampton_farmland	Southampton	farmland	September	26	0	21	5	0	9	4	2	1	135
Southampton_nature_reserve	Southampton	naturereserve	June	1	0	1	0	0	1	0	0	0	31
Southampton_nature_reserve	Southampton	naturereserve	July	4	0	2	2	0	1	2	1	1	11
Southampton_nature_reserve	Southampton	naturereserve	August	1	0	0	1	0	0	1	0	0	59
Southampton_nature_reserve	Southampton	naturereserve	September	5	0	3	2	0	2	2	1	0	9
Southampton_urban	Southampton	urban	June	6	0	1	5	0	1	5	4	0	174
Southampton_urban	Southampton	urban	July	10	1	2	7	0	2	6	3	2	161
Southampton_urban	Southampton	urban	August	6	0	3	3	0	2	3	2	0	61
Southampton_urban	Southampton	urban	September	5	0	2	3	0	1	3	2	1	30
Swindon_farmland	Swindon	farmland	June	1	0	0	1	0	0	0	0	0	65
Swindon_farmland	Swindon	farmland	July	0	0	0	0	0	0	0	0	0	29
Swindon_farmland	Swindon	farmland	August	7	1	5	1	0	3	1	0	0	24
Swindon_farmland	Swindon	farmland	September	8	0	7	1	0	3	0	0	0	8
Swindon_nature_reserve	Swindon	naturereserve	June	9	2	6	1	0	0	0	0	0	171
Swindon_nature_reserve	Swindon	naturereserve	July	18	1	9	3	5	3	3	2	1	138
Swindon_nature_reserve	Swindon	naturereserve	August	33	2	18	9	4	7	7	4	2	47
Swindon_nature_reserve	Swindon	naturereserve	September	37	3	23	9	2	4	4	3	0	72
Swindon_urban	Swindon	urban	June	7	1	2	3	1	1	3	2	1	72
Swindon_urban	Swindon	urban	July	13	1	7	5	0	3	5	4	0	205
Swindon_urban	Swindon	urban	August	15	0	8	6	1	4	6	5	0	95
Swindon_urban	Swindon	urban	September	9	0	6	3	0	4	3	3	0	39
