Site	City	Type	Month	All_taxa	Coleoptera	Diptera	Syrphidae	Hymenoptera	Lepidoptera	Bees	Honeybees	Bumblebees	Solitary_bees	Floral_unit_abundance
Leeds_farmland	Leeds	farmland	June	44	2	1	40	1	1	40	12	28	0	344
Leeds_farmland	Leeds	farmland	July	18	0	10	8	0	1	8	0	8	0	473
Leeds_farmland	Leeds	farmland	August	33	0	15	18	0	8	18	7	11	0	34
Leeds_farmland	Leeds	farmland	September	26	0	21	5	0	4	0	0	0	0	11
Leeds_nature_reserve	Leeds	naturereserve	June	24	11	5	8	0	2	0	3	5	0	283
Leeds_nature_reserve	Leeds	naturereserve	July	17	4	9	3	1	4	0	0	2	0	11
Leeds_nature_reserve	Leeds	naturereserve	August	7	0	6	1	0	5	0	0	1	0	357
Leeds_nature_reserve	Leeds	naturereserve	September	6	0	4	2	0	2	0	0	1	0	0
Leeds_urban	Leeds	urban	June	76	0	4	72	0	2	71	13	56	2	3126
Leeds_urban	Leeds	urban	July	7	0	4	3	0	3	2	1	1	0	1287
Leeds_urban	Leeds	urban	August	40	0	29	11	0	29	11	1	9	1	369
Leeds_urban	Leeds	urban	September	29	0	27	2	0	27	2	2	0	0	173
London_farmland	London	farmland	June	98	2	2	94	0	2	92	17	75	0	1371
London_farmland	London	farmland	July	28	9	3	14	2	2	13	11	2	0	190
London_farmland	London	farmland	August	81	4	33	44	0	17	44	28	11	5	168
London_farmland	London	farmland	September	12	0	4	8	0	2	7	0	7	0	9
London_nature_reserve	London	naturereserve	June	0	0	0	0	0	0	0	0	0	0	3
London_nature_reserve	London	naturereserve	July	2	0	1	1	0	1	0	0	1	0	18
London_nature_reserve	London	naturereserve	August	23	0	20	3	0	19	0	0	3	0	21
London_nature_reserve	London	naturereserve	September	4	0	3	1	0	3	0	0	1	0	41
London_urban	London	urban	June	40	12	6	21	1	2	21	6	15	0	123
London_urban	London	urban	July	75	20	25	28	2	14	21	3	10	8	148
London_urban	London	urban	August	41	5	12	24	0	11	23	12	7	4	38
London_urban	London	urban	September	26	0	5	21	0	1	20	3	14	3	58
Reading_farmland	Reading	farmland	June	77	20	44	12	1	16	9	5	2	2	1295
Reading_farmland	Reading	farmland	July	133	7	100	25	1	55	22	4	3	15	531
Reading_farmland	Reading	farmland	August	2	0	2	0	0	0	0	0	0	0	6
Reading_farmland	Reading	farmland	September	0	0	0	0	0	0	0	0	0	0	0
Reading_nature_reserve	Reading	naturereserve	June	2	1	0	1	0	0	1	0	1	0	519
Reading_nature_reserve	Reading	naturereserve	July	22	0	18	4	0	18	1	0	1	0	189
Reading_nature_reserve	Reading	naturereserve	August	12	0	3	9	0	1	9	6	3	0	3501
Reading_nature_reserve	Reading	naturereserve	September	15	0	4	11	0	4	11	5	6	0	2081
Reading_urban	Reading	urban	June	23	2	7	14	0	2	14	0	14	0	271
Reading_urban	Reading	urban	July	51	1	29	21	0	24	20	6	7	7	149
Reading_urban	Reading	urban	August	8	0	5	3	0	3	3	1	2	0	43
Reading_urban	Reading	urban	September	8	0	4	4	0	2	4	1	2	1	19
Sheffield_farmland	Sheffield	farmland	June	11	2	7	2	0	0	2	0	1	1	135
Sheffield_farmland	Sheffield	farmland	July	10	1	4	5	0	2	3	0	3	0	109
Sheffield_farmland	Sheffield	farmland	August	19	0	11	8	0	11	8	7	1	0	38
Sheffield_farmland	Sheffield	farmland	September	14	0	12	2	0	5	2	0	2	0	6
Sheffield_nature_reserve	Sheffield	naturereserve	June	0	0	0	0	0	0	0	0	0	0	0
Sheffield_nature_reserve	Sheffield	naturereserve	July	0	0	0	0	0	0	0	0	0	0	22
Sheffield_nature_reserve	Sheffield	naturereserve	August	221	0	159	62	0	158	60	44	16	0	3297
Sheffield_nature_reserve	Sheffield	naturereserve	September	2	0	0	2	0	0	2	0	2	0	16787
Sheffield_urban	Sheffield	urban	June	18	0	2	16	0	2	16	2	13	1	969
Sheffield_urban	Sheffield	urban	July	9	0	2	7	0	1	7	3	2	2	229
Sheffield_urban	Sheffield	urban	August	52	2	41	8	1	41	8	0	8	0	249
Sheffield_urban	Sheffield	urban	September	17	0	16	1	0	16	1	0	1	0	69
Southampton_farmland	Southampton	farmland	June	1	0	1	0	0	0	0	0	0	0	229
Southampton_farmland	Southampton	farmland	July	83	6	54	23	0	36	23	10	7	6	646
Southampton_farmland	Southampton	farmland	August	101	1	47	52	1	3	41	36	13	2	268
Southampton_farmland	Southampton	farmland	September	66	0	47	19	0	20	18	7	10	1	135
Southampton_nature_reserve	Southampton	naturereserve	June	1	0	1	0	0	1	0	0	0	0	31
Southampton_nature_reserve	Southampton	naturereserve	July	6	0	4	2	0	3	2	0	1	1	11
Southampton_nature_reserve	Southampton	naturereserve	August	1	0	0	1	0	0	1	1	0	0	59
Southampton_nature_reserve	Southampton	naturereserve	September	6	0	4	2	0	3	2	1	1	0	9
Southampton_urban	Southampton	urban	June	22	0	1	21	0	1	21	6	15	0	174
Southampton_urban	Southampton	urban	July	31	1	2	28	0	2	27	14	11	2	161
Southampton_urban	Southampton	urban	August	25	0	9	16	0	8	16	14	2	0	61
Southampton_urban	Southampton	urban	September	9	0	2	7	0	1	7	0	6	1	30
Swindon_farmland	Swindon	farmland	June	2	0	0	2	0	0	0	0	0	0	65
Swindon_farmland	Swindon	farmland	July	0	0	0	0	0	0	0	0	0	0	29
Swindon_farmland	Swindon	farmland	August	10	1	6	3	0	4	3	3	0	0	24
Swindon_farmland	Swindon	farmland	September	12	0	11	1	0	6	0	0	0	0	8
Swindon_nature_reserve	Swindon	naturereserve	June	17	6	10	1	0	0	0	0	0	0	171
Swindon_nature_reserve	Swindon	naturereserve	July	125	1	104	11	9	4	11	0	10	1	138
Swindon_nature_reserve	Swindon	naturereserve	August	122	9	78	12	23	47	10	2	6	2	47
Swindon_nature_reserve	Swindon	naturereserve	September	201	3	169	23	6	12	11	2	9	0	72
Swindon_urban	Swindon	urban	June	8	2	2	3	1	1	3	0	2	1	72
Swindon_urban	Swindon	urban	July	25	1	13	11	0	6	11	2	9	0	205
Swindon_urban	Swindon	urban	August	42	0	18	22	2	12	22	2	20	0	95
Swindon_urban	Swindon	urban	September	27	0	10	17	0	7	17	0	17	0	39
